"","sentence","token","duration","occlusions","participant","level","time","trial","is_trill"
"396","74a","mirar","21","1 True","P3E","sp1","POST",80,"tap"
"397","74b","mirar","32","approximant","P3E","sp1","POST",81,"tap"
"398","75a","tirar","26","1 True","P3E","sp1","POST",82,"tap"
"399","75b","tirar","23","approximant","P3E","sp1","POST",83,"tap"
"400","76","(cocina)","NA",NA,"P3E","sp1","POST",84,NA
"401","77a","morder","23","approximant","P3E","sp1","POST",85,"tap"
"402","77b","morder","N/A","perceptual","P3E","sp1","POST",86,"tap"
"403","78a","marcar","30","approximant","P3E","sp1","POST",87,"tap"
"404","78b","marcar","N/A","perceptual","P3E","sp1","POST",88,"tap"
"405","79","(tiza)","NA",NA,"P3E","sp1","POST",89,NA
"406","80a","cortar ","21","approximant","P3E","sp1","POST",90,"tap"
"407","80b","cortar ","23","approximant","P3E","sp1","POST",91,"tap"
"408","81a","hurtar","32","approximant","P3E","sp1","POST",92,"tap"
"409","81b","hurtar","36","approximant","P3E","sp1","POST",93,"tap"
"410","82","(dieta)","NA",NA,"P3E","sp1","POST",94,NA
"411","83a","perder","N/A","perceptual","P3E","sp1","POST",95,"tap"
"412","83b","perder","25","approximant","P3E","sp1","POST",96,"tap"
"413","84a","torero","17","1 True","P3E","sp1","POST",97,"tap"
"414","84b","torero","18","1 True","P3E","sp1","POST",98,"tap"
"415","85","(agua)","NA",NA,"P3E","sp1","POST",99,NA
"416","86a","perecer","N/A","N/A","P3E","sp1","POST",100,"tap"
"417","86b","perecer","25","approximant","P3E","sp1","POST",101,"tap"
"418","87a","colorear","40","approximant","P3E","sp1","POST",102,"tap"
"419","87b","colorear","24","approximant","P3E","sp1","POST",103,"tap"
"420","88","(café)","NA",NA,"P3E","sp1","POST",104,NA
"421","89a","mercurio","20","approximant","P3E","sp1","POST",105,"tap"
"422","89b","mercurio","17","1 true","P3E","sp1","POST",106,"tap"
"423","90a","arteria","29","approximant","P3E","sp1","POST",107,"tap"
"424","90b","arteria","18","approximant","P3E","sp1","POST",108,"tap"
"425","91","(dibujo)","NA",NA,"P3E","sp1","POST",109,NA
"426","92a","radicar","130","2","P3E","sp1","POST",110,"trill"
"427","92b","radicar","23","approximant","P3E","sp1","POST",111,"tap"
"428","93a","rifar","116","2","P3E","sp1","POST",112,"trill"
"429","93b","rifar","26","approximant","P3E","sp1","POST",113,"tap"
"430","94","(venta)","NA",NA,"P3E","sp1","POST",114,NA
"431","95a","rodar","152","3","P3E","sp1","POST",115,"trill"
"432","95b","rodar","82","approximant","P3E","sp1","POST",116,"tap"
"433","96a","romper","138","4","P3E","sp1","POST",117,"trill"
"434","96b","romper","N/A","perceptual","P3E","sp1","POST",118,"tap"
"435","97","(siete)","NA",NA,"P3E","sp1","POST",119,NA
"436","98a","rumor","149","4","P3E","sp1","POST",120,"trill"
"437","98b","rumor","27","approximant","P3E","sp1","POST",121,"tap"
"438","99a","raro","127","3","P3E","sp1","POST",122,"trill"
"439","99b","raro","19","1 True","P3E","sp1","POST",123,"tap"
"440","100","(ocho)","NA",NA,"P3E","sp1","POST",124,NA
"441","101a","ropero","129","2","P3E","sp1","POST",125,"trill"
"442","101b","ropero","22","1 True","P3E","sp1","POST",126,"tap"
"443","102a","ratero","128","3","P3E","sp1","POST",127,"trill"
"444","102b","ratero","19","1 True","P3E","sp1","POST",128,"tap"
"445","103","(mayo)","NA",NA,"P3E","sp1","POST",129,NA
"446","104a","carrera ","105","2","P3E","sp1","POST",130,"trill"
"447","104b","carrera","22","1 True","P3E","sp1","POST",131,"tap"
"448","105a","rapero","134","3","P3E","sp1","POST",132,"trill"
"449","105b","rapero","26","1 True","P3E","sp1","POST",133,"tap"
"450","106","(semana)","NA",NA,"P3E","sp1","POST",134,NA
"451","107a","barrer","128","3","P3E","sp1","POST",135,"trill"
"452","107b","barrer","29","approximant","P3E","sp1","POST",136,"tap"
"453","108a","correr","113","2","P3E","sp1","POST",137,"trill"
"454","108b","correr","30","approximant","P3E","sp1","POST",138,"tap"
"455","109","(antes)","NA",NA,"P3E","sp1","POST",139,NA
"456","110a","narrar","149","3","P3E","sp1","POST",140,"trill"
"457","110b","narrar","28","approximant","P3E","sp1","POST",141,"tap"
"458","111a","borrar","155","3","P3E","sp1","POST",142,"trill"
"459","111b","borrar","33","approximant","P3E","sp1","POST",143,"tap"
"460","112","(estoy)","NA",NA,"P3E","sp1","POST",144,NA
"461","113a","cerrar ","110","2","P3E","sp1","POST",145,"trill"
"462","113b","cerrar","24","approximant","P3E","sp1","POST",146,"tap"
"463","114a","derribar","122","3","P3E","sp1","POST",147,"trill"
"464","114b","derribar","20","approximant","P3E","sp1","POST",148,"tap"
"465","115","(común)","NA",NA,"P3E","sp1","POST",149,NA
"466","116a","corregir","123","3","P3E","sp1","POST",150,"trill"
"467","116b","corregir","28","approximant","P3E","sp1","POST",151,"tap"
"468","117a","irritar","137","4","P3E","sp1","POST",152,"trill"
"469","117b","irritar","21","approximant","P3E","sp1","POST",153,"tap"
"470","118","(menos)","NA",NA,"P3E","sp1","POST",154,NA
"471","119a","interrogar","92","2","P3E","sp1","POST",155,"trill"
"472","119b","interrogar","27","approximant","P3E","sp1","POST",156,"tap"
"473","120a","corredor","135","3","P3E","sp1","POST",157,"trill"
"474","120b","corredor","24","approximant","P3E","sp1","POST",158,"tap"
"475","1","(papa)","NA",NA,"P3E","sp1","PRE",1,NA
"476","2","ahora","19","1 True","P3E","sp1","PRE",2,"tap"
"477","3","ahorra","18","1","P3E","sp1","PRE",3,"trill"
"478","4","(uno)","NA",NA,"P3E","sp1","PRE",4,NA
"479","5","vara","13","approximant","P3E","sp1","PRE",5,"tap"
"480","6","barra","15","0","P3E","sp1","PRE",6,"trill"
"481","7","(pata)","NA",NA,"P3E","sp1","PRE",7,NA
"482","8","coral ","19","approximant","P3E","sp1","PRE",8,"tap"
"483","9","corral","37","0","P3E","sp1","PRE",9,"trill"
"484","10","(duelo)","NA",NA,"P3E","sp1","PRE",10,NA
"485","11","caro","22","1 True","P3E","sp1","PRE",11,"tap"
"486","12","carro","21","0","P3E","sp1","PRE",12,"trill"
"487","13","(cuna)","NA",NA,"P3E","sp1","PRE",13,NA
"488","14","pera","10","approximant","P3E","sp1","PRE",14,"tap"
"489","15","perra","18","1","P3E","sp1","PRE",15,"trill"
"490","16","(huelo)","NA",NA,"P3E","sp1","PRE",16,NA
"491","17","careta","18","approximant","P3E","sp1","PRE",17,"tap"
"492","18","carreta","11","0","P3E","sp1","PRE",18,"trill"
"493","19","(cena)","NA",NA,"P3E","sp1","PRE",19,NA
"494","20","encerar","26","approximant","P3E","sp1","PRE",20,"tap"
"495","20b","encerar","118","approximant","P3E","sp1","PRE",21,"tap"
"496","21","encerrar","20","0","P3E","sp1","PRE",22,"trill"
"497","21b","encerrar","127","approximant","P3E","sp1","PRE",23,"tap"
"498","22","(pena)","NA",NA,"P3E","sp1","PRE",24,NA
"499","23","perito","18","approximant","P3E","sp1","PRE",25,"tap"
"500","24","perrito","128","2","P3E","sp1","PRE",26,"trill"
"501","25","(invita)","NA",NA,"P3E","sp1","PRE",27,NA
"502","26","pero","28","approximant","P3E","sp1","PRE",28,"tap"
"503","27","perro","32","1","P3E","sp1","PRE",29,"trill"
"504","28","(incita)","NA",NA,"P3E","sp1","PRE",30,NA
"505","29","cero","19","approximant","P3E","sp1","PRE",31,"tap"
"506","30","cerro","29","1","P3E","sp1","PRE",32,"trill"
"507","31","(pato)","NA",NA,"P3E","sp1","PRE",33,NA
"508","32","reto","17","1","P3E","sp1","PRE",34,"trill"
"509","33","rifa","9","0","P3E","sp1","PRE",35,"trill"
"510","34","(cometa)","NA",NA,"P3E","sp1","PRE",36,NA
"511","35","risa","26","1","P3E","sp1","PRE",37,"trill"
"512","36","rojo","85","0","P3E","sp1","PRE",38,"trill"
"513","37","(gato)","NA",NA,"P3E","sp1","PRE",39,NA
"514","38","ropa","22","0","P3E","sp1","PRE",40,"trill"
"515","39","borracho","59","1","P3E","sp1","PRE",41,"trill"
"516","40","(hilo)","NA",NA,"P3E","sp1","PRE",42,NA
"517","41","carreta","34","1","P3E","sp1","PRE",43,"trill"
"518","42","perrita","42","1","P3E","sp1","PRE",44,"trill"
"519","43","(cono)","NA",NA,"P3E","sp1","PRE",45,NA
"520","44","jarrita","34","1","P3E","sp1","PRE",46,"trill"
"521","45","barrilete","49","1","P3E","sp1","PRE",47,"trill"
"522","46","(camisa)","NA",NA,"P3E","sp1","PRE",48,NA
"523","47","guitarra","29","1","P3E","sp1","PRE",49,"trill"
"524","48","torre","23","1","P3E","sp1","PRE",50,"trill"
"525","49","(clase)","NA",NA,"P3E","sp1","PRE",51,NA
"526","50","burro ","60","0","P3E","sp1","PRE",52,"trill"
"527","51","zorro","54","0","P3E","sp1","PRE",53,"trill"
"528","52","(cómico)","NA",NA,"P3E","sp1","PRE",54,NA
"529","53","tierra","41","1","P3E","sp1","PRE",55,"trill"
"530","54","sonrisa","72","0","P3E","sp1","PRE",56,"trill"
"531","55","(tiempo)","NA",NA,"P3E","sp1","PRE",57,NA
"532","56","alrededor","42","1","P3E","sp1","PRE",58,"trill"
"533","56b","alrededor","53","approximant","P3E","sp1","PRE",59,"tap"
"534","57","enriquece","27","0","P3E","sp1","PRE",60,"trill"
"535","58","(mango)","NA",NA,"P3E","sp1","PRE",61,NA
"536","59","honrado","52","0","P3E","sp1","PRE",62,"trill"
"537","60","israel","45","0","P3E","sp1","PRE",63,"trill"
"538","61","(cometa)","NA",NA,"P3E","sp1","PRE",64,NA
"539","62","cara","25","approximant","P3E","sp1","PRE",65,"tap"
"540","63","madera","28","1 True","P3E","sp1","PRE",66,"tap"
"541","64","(música)","NA",NA,"P3E","sp1","PRE",67,NA
"542","65","cereza","28","1 True","P3E","sp1","PRE",68,"tap"
"543","66","quiero","24","1 True","P3E","sp1","PRE",69,"tap"
"544","67","(médico)","NA",NA,"P3E","sp1","PRE",70,NA
"545","68","pereza","34","1 True","P3E","sp1","PRE",71,"tap"
"546","69a","parar","20","approximant","P3E","sp1","PRE",72,"tap"
"547","69b","parar","92","approximant","P3E","sp1","PRE",73,"tap"
"548","70","(mesa)","NA",NA,"P3E","sp1","PRE",74,NA
"549","71a","querer","25","approximant","P3E","sp1","PRE",75,"tap"
"550","71b","querer","36","approximant","P3E","sp1","PRE",76,"tap"
"551","72a","morir","39","approximant","P3E","sp1","PRE",77,"tap"
"552","72b","morir","140","approximant","P3E","sp1","PRE",78,"tap"
"553","73","(amigo)","NA",NA,"P3E","sp1","PRE",79,NA
"554","74a","mirar","29","1 True","P3E","sp1","PRE",80,"tap"
"555","74b","mirar","62","approximant","P3E","sp1","PRE",81,"tap"
"556","75a","tirar","N/A","perceptual","P3E","sp1","PRE",82,"tap"
"557","75b","tirar","126","approximant","P3E","sp1","PRE",83,"tap"
"558","76","(cocina)","NA",NA,"P3E","sp1","PRE",84,NA
"559","77a","morder","45","approximant","P3E","sp1","PRE",85,"tap"
"560","77b","morder","136","approximant","P3E","sp1","PRE",86,"tap"
"561","78a","marcar","50","approximant","P3E","sp1","PRE",87,"tap"
"562","78b","marcar","105","approximant","P3E","sp1","PRE",88,"tap"
"563","79","(tiza)","NA",NA,"P3E","sp1","PRE",89,NA
"564","80a","cortar ","42","approximant","P3E","sp1","PRE",90,"tap"
"565","80b","cortar ","86","approximant","P3E","sp1","PRE",91,"tap"
"566","81a","hurtar","79","approximant","P3E","sp1","PRE",92,"tap"
"567","81b","hurtar","125","approximant","P3E","sp1","PRE",93,"tap"
"568","82","(dieta)","NA",NA,"P3E","sp1","PRE",94,NA
"569","83a","perder","18","approximant","P3E","sp1","PRE",95,"tap"
"570","83b","perder","79","approximant","P3E","sp1","PRE",96,"tap"
"571","84a","torero","30","1 True","P3E","sp1","PRE",97,"tap"
"572","84b","torero","38","approximant","P3E","sp1","PRE",98,"tap"
"573","85","(agua)","NA",NA,"P3E","sp1","PRE",99,NA
"574","86a","perecer","N/A","perceptual","P3E","sp1","PRE",100,"tap"
"575","86b","perecer","N/A","perceptual","P3E","sp1","PRE",101,"tap"
"576","87a","colorear","38","approximant","P3E","sp1","PRE",102,"tap"
"577","87b","colorear","165","approximant","P3E","sp1","PRE",103,"tap"
"578","88","(café)","NA",NA,"P3E","sp1","PRE",104,NA
"579","89a","mercurio","54","approximant","P3E","sp1","PRE",105,"tap"
"580","89b","mercurio","48","1 True","P3E","sp1","PRE",106,"tap"
"581","90a","arteria","N/A","perceptual","P3E","sp1","PRE",107,"tap"
"582","90b","arteria","77","approximant","P3E","sp1","PRE",108,"tap"
"583","91","(dibujo)","NA",NA,"P3E","sp1","PRE",109,NA
"584","92a","radicar","31","0","P3E","sp1","PRE",110,"trill"
"585","92b","radicar","81","approximant","P3E","sp1","PRE",111,"tap"
"586","93a","rifar","38","0","P3E","sp1","PRE",112,"trill"
"587","93b","rifar","81","approximant","P3E","sp1","PRE",113,"tap"
"588","94","(venta)","NA",NA,"P3E","sp1","PRE",114,NA
"589","95a","rodar","44","0","P3E","sp1","PRE",115,"trill"
"590","95b","rodar","N/A","perceptual","P3E","sp1","PRE",116,"tap"
"591","96a","romper","32","0","P3E","sp1","PRE",117,"trill"
"592","96b","romper","41","approximant","P3E","sp1","PRE",118,"tap"
"593","97","(siete)","NA",NA,"P3E","sp1","PRE",119,NA
"594","98a","rumor","69","0","P3E","sp1","PRE",120,"trill"
"595","98b","rumor","77","approximant","P3E","sp1","PRE",121,"tap"
"596","99a","raro","11","0","P3E","sp1","PRE",122,"trill"
"597","99b","raro","43","approximant","P3E","sp1","PRE",123,"tap"
"598","100","(ocho)","NA",NA,"P3E","sp1","PRE",124,NA
"599","101a","ropero","63","1","P3E","sp1","PRE",125,"trill"
"600","101b","ropero","25","approximant","P3E","sp1","PRE",126,"tap"
"601","102a","ratero","24","0","P3E","sp1","PRE",127,"trill"
"602","102b","ratero","34","approximant","P3E","sp1","PRE",128,"tap"
"603","103","(mayo)","NA",NA,"P3E","sp1","PRE",129,NA
"604","104a","carrera ","25","1","P3E","sp1","PRE",130,"trill"
"605","104b","carrera","33","1 True","P3E","sp1","PRE",131,"tap"
"606","105a","rapero","22","0","P3E","sp1","PRE",132,"trill"
"607","105b","rapero","47","1 True","P3E","sp1","PRE",133,"tap"
"608","106","(semana)","NA",NA,"P3E","sp1","PRE",134,NA
"609","107a","barrer","32","1","P3E","sp1","PRE",135,"trill"
"610","107b","barrer","61","approximant","P3E","sp1","PRE",136,"tap"
"611","108a","correr","88","1","P3E","sp1","PRE",137,"trill"
"612","108b","correr","88","approximant","P3E","sp1","PRE",138,"tap"
"613","109","(antes)","NA",NA,"P3E","sp1","PRE",139,NA
"614","110a","narrar","25","1","P3E","sp1","PRE",140,"trill"
"615","110b","narrar","66","approximant","P3E","sp1","PRE",141,"tap"
"616","111a","borrar","36","0","P3E","sp1","PRE",142,"trill"
"617","111b","borrar","70","approximant","P3E","sp1","PRE",143,"tap"
"618","112","(estoy)","NA",NA,"P3E","sp1","PRE",144,NA
"619","113a","cerrar ","52","0","P3E","sp1","PRE",145,"trill"
"620","113b","cerrar","94","approximant","P3E","sp1","PRE",146,"tap"
"621","114a","derribar","43","1","P3E","sp1","PRE",147,"trill"
"622","114b","derribar","121","approximant","P3E","sp1","PRE",148,"tap"
"623","115","(común)","NA",NA,"P3E","sp1","PRE",149,NA
"624","116a","corregir","27","0","P3E","sp1","PRE",150,"trill"
"625","116b","corregir","146","approximant","P3E","sp1","PRE",151,"tap"
"626","117a","irritar","50","1","P3E","sp1","PRE",152,"trill"
"627","117b","irritar","59","approximant","P3E","sp1","PRE",153,"tap"
"628","118","(menos)","NA",NA,"P3E","sp1","PRE",154,NA
"629","119a","interrogar","N/A","0","P3E","sp1","PRE",155,"trill"
"630","119b","interrogar","132","approximant","P3E","sp1","PRE",156,"tap"
"631","120a","corredor","N/A","0","P3E","sp1","PRE",157,"trill"
"632","120b","corredor","97","approximant","P3E","sp1","PRE",158,"tap"
"633","1","NA","NA",NA,"P5E","sp1","POST",1,NA
"634","2","ahora","15","1 True","P5E","sp1","POST",2,"tap"
"635","3","ahorra","18","1","P5E","sp1","POST",3,"trill"
"636","4","(uno)","NA",NA,"P5E","sp1","POST",4,NA
"637","5","vara","17","1 True","P5E","sp1","POST",5,"trill"
"638","6","barra","31","1","P5E","sp1","POST",6,"trill"
"639","7","(pata)","NA",NA,"P5E","sp1","POST",7,NA
"640","8","coral ","14","1 True","P5E","sp1","POST",8,"tap"
"641","9","corral","18","1","P5E","sp1","POST",9,"trill"
"642","10","(duelo)","NA",NA,"P5E","sp1","POST",10,NA
"643","11","caro","14","1 True","P5E","sp1","POST",11,"tap"
"644","12","carro","44","2","P5E","sp1","POST",12,"trill"
"645","13","(cuna)","NA",NA,"P5E","sp1","POST",13,NA
"646","14","pera","23","1 True","P5E","sp1","POST",14,"tap"
"647","15","perra","33","2","P5E","sp1","POST",15,"trill"
"648","16","(huelo)","NA",NA,"P5E","sp1","POST",16,NA
"649","17","careta","20","1 True","P5E","sp1","POST",17,"tap"
"650","18","carreta","18","1","P5E","sp1","POST",18,"trill"
"651","19","(cena)","NA",NA,"P5E","sp1","POST",19,NA
"652","20","encerar","15","1 True","P5E","sp1","POST",20,"tap"
"653","20b","encerar","22","1 True","P5E","sp1","POST",21,"tap"
"654","21","encerrar","15","1","P5E","sp1","POST",22,"trill"
"655","21b","encerrar","14","1 True","P5E","sp1","POST",23,"tap"
"656","22","(pena)","NA",NA,"P5E","sp1","POST",24,NA
"657","23","perito","20","1 True","P5E","sp1","POST",25,"tap"
"658","24","perrito","30","2","P5E","sp1","POST",26,"trill"
"659","25","(invita)","NA",NA,"P5E","sp1","POST",27,NA
"660","26","pero","30","1 True","P5E","sp1","POST",28,"tap"
"661","27","perro","45","2","P5E","sp1","POST",29,"trill"
"662","28","(incita)","NA",NA,"P5E","sp1","POST",30,NA
"663","29","cero","31","1 True","P5E","sp1","POST",31,"tap"
"664","30","cerro","34","2","P5E","sp1","POST",32,"trill"
"665","31","(pato)","NA",NA,"P5E","sp1","POST",33,NA
"666","32","reto","25","1","P5E","sp1","POST",34,"trill"
"667","33","rifa","34","1","P5E","sp1","POST",35,"trill"
"668","34","(cometa)","NA",NA,"P5E","sp1","POST",36,NA
"669","35","risa","40","2","P5E","sp1","POST",37,"trill"
"670","36","rojo","40","2","P5E","sp1","POST",38,"trill"
"671","37","(gato)","NA",NA,"P5E","sp1","POST",39,NA
"672","38","ropa","37","2","P5E","sp1","POST",40,"trill"
"673","39","borracho","33","2","P5E","sp1","POST",41,"trill"
"674","40","(hilo)","NA",NA,"P5E","sp1","POST",42,NA
"675","41","carreta","17","1","P5E","sp1","POST",43,"trill"
"676","42","perrita","35","2","P5E","sp1","POST",44,"trill"
"677","43","(cono)","NA",NA,"P5E","sp1","POST",45,NA
"678","44","jarrita","51","2","P5E","sp1","POST",46,"trill"
"679","45","barrilete","43","2","P5E","sp1","POST",47,"trill"
"680","46","(camisa)","NA",NA,"P5E","sp1","POST",48,NA
"681","47","guitarra","34","2","P5E","sp1","POST",49,"trill"
"682","48","torre","25","2","P5E","sp1","POST",50,"trill"
"683","49","(clase)","NA",NA,"P5E","sp1","POST",51,NA
"684","50","burro ","30","2","P5E","sp1","POST",52,"trill"
"685","51","zorro","37","2","P5E","sp1","POST",53,"trill"
"686","52","(cómico)","NA",NA,"P5E","sp1","POST",54,NA
"687","53","tierra","35","2","P5E","sp1","POST",55,"trill"
"688","54","sonrisa","N/A","0","P5E","sp1","POST",56,"trill"
"689","55","(tiempo)","NA",NA,"P5E","sp1","POST",57,NA
"690","56","alrededor","27","0","P5E","sp1","POST",58,"trill"
"691","56b","alrededor","23","1 True","P5E","sp1","POST",59,"tap"
"692","57","enriquece","38","0","P5E","sp1","POST",60,"trill"
"693","58","(mango)","NA",NA,"P5E","sp1","POST",61,NA
"694","59","honrado","N/A","0","P5E","sp1","POST",62,"trill"
"695","60","israel","58","2","P5E","sp1","POST",63,"trill"
"696","61","(cometa)","NA",NA,"P5E","sp1","POST",64,NA
"697","62","cara","14","1 True","P5E","sp1","POST",65,"tap"
"698","63","madera","19","1 True","P5E","sp1","POST",66,"tap"
"699","64","(música)","NA",NA,"P5E","sp1","POST",67,NA
"700","65","cereza","27","1 True ","P5E","sp1","POST",68,"tap"
"701","66","quiero","30","1 True","P5E","sp1","POST",69,"tap"
"702","67","(médico)","NA",NA,"P5E","sp1","POST",70,NA
"703","68","pereza","26","1 True","P5E","sp1","POST",71,"tap"
"704","69a","parar","34","1 + fric","P5E","sp1","POST",72,"tap"
"705","69b","parar","29","1 True","P5E","sp1","POST",73,"tap"
"706","70","(mesa)","NA",NA,"P5E","sp1","POST",74,NA
"707","71a","querer","36","1 + fric","P5E","sp1","POST",75,"tap"
"708","71b","querer","34","1 + fric","P5E","sp1","POST",76,"tap"
"709","72a","morir","26","1 + fric","P5E","sp1","POST",77,"tap"
"710","72b","morir","35","1 + fric","P5E","sp1","POST",78,"tap"
"711","73","(amigo)","NA",NA,"P5E","sp1","POST",79,NA
"712","74a","mirar","30","1 + fric","P5E","sp1","POST",80,"tap"
"713","74b","mirar","18","1 True","P5E","sp1","POST",81,"tap"
"714","75a","tirar","26","1 + fric","P5E","sp1","POST",82,"tap"
"715","75b","tirar","33","1 + fric","P5E","sp1","POST",83,"tap"
"716","76","(cocina)","NA",NA,"P5E","sp1","POST",84,NA
"717","77a","morder","21","1 True","P5E","sp1","POST",85,"tap"
"718","77b","morder","25","1 + fric","P5E","sp1","POST",86,"tap"
"719","78a","marcar","20","1 True","P5E","sp1","POST",87,"tap"
"720","78b","marcar","31","1 True","P5E","sp1","POST",88,"tap"
"721","79","(tiza)","NA",NA,"P5E","sp1","POST",89,NA
"722","80a","cortar ","28","1 + fric","P5E","sp1","POST",90,"tap"
"723","80b","cortar ","17","1 True","P5E","sp1","POST",91,"tap"
"724","81a","hurtar","17","1 True","P5E","sp1","POST",92,"tap"
"725","81b","hurtar","19","1 True","P5E","sp1","POST",93,"tap"
"726","82","(dieta)","NA",NA,"P5E","sp1","POST",94,NA
"727","83a","perder","28","1 True","P5E","sp1","POST",95,"tap"
"728","83b","perder","35","1 + fric","P5E","sp1","POST",96,"tap"
"729","84a","torero","28","1 + fric","P5E","sp1","POST",97,"tap"
"730","84b","torero","34","1 + fric","P5E","sp1","POST",98,"tap"
"731","85","(agua)","NA",NA,"P5E","sp1","POST",99,NA
"732","86a","perecer","24","1 True","P5E","sp1","POST",100,"tap"
"733","86b","perecer","30","1 + fric","P5E","sp1","POST",101,"tap"
"734","87a","colorear","20","approximant","P5E","sp1","POST",102,"tap"
"735","87b","colorear","17","1 True","P5E","sp1","POST",103,"tap"
"736","88","(café)","NA",NA,"P5E","sp1","POST",104,NA
"737","89a","mercurio","21","1 True","P5E","sp1","POST",105,"tap"
"738","89b","mercurio","37","1 + fric","P5E","sp1","POST",106,"tap"
"739","90a","arteria","22","approximant","P5E","sp1","POST",107,"tap"
"740","90b","arteria","37","1 + fric","P5E","sp1","POST",108,"tap"
"741","91","(dibujo)","NA",NA,"P5E","sp1","POST",109,NA
"742","92a","radicar","29","1","P5E","sp1","POST",110,"trill"
"743","92b","radicar","34","1 + 2 frc","P5E","sp1","POST",111,"tap"
"744","93a","rifar","28","1","P5E","sp1","POST",112,"trill"
"745","93b","rifar","20","1 True","P5E","sp1","POST",113,"tap"
"746","94","(venta)","NA",NA,"P5E","sp1","POST",114,NA
"747","95a","rodar","38","2","P5E","sp1","POST",115,"trill"
"748","95b","rodar","30","1 + fric","P5E","sp1","POST",116,"tap"
"749","96a","romper","33","2","P5E","sp1","POST",117,"trill"
"750","96b","romper","24","1 True","P5E","sp1","POST",118,"tap"
"751","97","(siete)","NA",NA,"P5E","sp1","POST",119,NA
"752","98a","rumor","37","2","P5E","sp1","POST",120,"trill"
"753","98b","rumor","22","1 + fric","P5E","sp1","POST",121,"tap"
"754","99a","raro","31","2","P5E","sp1","POST",122,"trill"
"755","99b","raro","32","1 + fric","P5E","sp1","POST",123,"tap"
"756","100","(ocho)","NA",NA,"P5E","sp1","POST",124,NA
"757","101a","ropero","36","2","P5E","sp1","POST",125,"trill"
"758","101b","ropero","21","1 True","P5E","sp1","POST",126,"tap"
"759","102a","ratero","68","2","P5E","sp1","POST",127,"trill"
"760","102b","ratero","32","1 + fric","P5E","sp1","POST",128,"tap"
"761","103","(mayo)","NA",NA,"P5E","sp1","POST",129,NA
"762","104a","carrera ","38","2","P5E","sp1","POST",130,"trill"
"763","104b","carrera","21","1 True","P5E","sp1","POST",131,"tap"
"764","105a","rapero","64","3","P5E","sp1","POST",132,"trill"
"765","105b","rapero","22","1 True","P5E","sp1","POST",133,"tap"
"766","106","(semana)","NA",NA,"P5E","sp1","POST",134,NA
"767","107a","barrer","31","2","P5E","sp1","POST",135,"trill"
"768","107b","barrer","29","1 True","P5E","sp1","POST",136,"tap"
"769","108a","correr","30","2","P5E","sp1","POST",137,"trill"
"770","108b","correr","23","1 True","P5E","sp1","POST",138,"tap"
"771","109","(antes)","NA",NA,"P5E","sp1","POST",139,NA
"772","110a","narrar","45","2","P5E","sp1","POST",140,"trill"
"773","110b","narrar","19","1 True","P5E","sp1","POST",141,"tap"
"774","111a","borrar","37","2","P5E","sp1","POST",142,"trill"
"775","111b","borrar","20","1 True","P5E","sp1","POST",143,"tap"
"776","112","(estoy)","NA",NA,"P5E","sp1","POST",144,NA
"777","113a","cerrar ","40","2","P5E","sp1","POST",145,"trill"
"778","113b","cerrar","24","1 True","P5E","sp1","POST",146,"tap"
"779","114a","derribar","53","2","P5E","sp1","POST",147,"trill"
"780","114b","derribar","28","1 + fric","P5E","sp1","POST",148,"tap"
"781","115","(común)","NA",NA,"P5E","sp1","POST",149,NA
"782","116a","corregir","50","1","P5E","sp1","POST",150,"trill"
"783","116b","corregir","15","1 True","P5E","sp1","POST",151,"tap"
"784","117a","irritar","N/A","0","P5E","sp1","POST",152,"trill"
"785","117b","irritar","17","1 True","P5E","sp1","POST",153,"tap"
"786","118","(menos)","NA",NA,"P5E","sp1","POST",154,NA
"787","119a","interrogar","33","2","P5E","sp1","POST",155,"trill"
"788","119b","interrogar","15","1 True","P5E","sp1","POST",156,"tap"
"789","120a","corredor","66","2","P5E","sp1","POST",157,"trill"
"790","120b","corredor","21","1 True","P5E","sp1","POST",158,"tap"
"791","1","(papa)","NA",NA,"P5E","sp1","PRE",1,NA
"792","2","ahora","27","1 True","P5E","sp1","PRE",2,"tap"
"793","3","ahorra","78","2","P5E","sp1","PRE",3,"trill"
"794","4","(uno)","NA",NA,"P5E","sp1","PRE",4,NA
"795","5","vara","23","1 True","P5E","sp1","PRE",5,"tap"
"796","6","barra","39","2","P5E","sp1","PRE",6,"trill"
"797","7","(pata)","NA",NA,"P5E","sp1","PRE",7,NA
"798","8","coral ","22","1 True","P5E","sp1","PRE",8,"tap"
"799","9","corral","78","3","P5E","sp1","PRE",9,"trill"
"800","10","(duelo)","NA",NA,"P5E","sp1","PRE",10,NA
"801","11","caro","29","1 True","P5E","sp1","PRE",11,"tap"
"802","12","carro","61","2","P5E","sp1","PRE",12,"trill"
"803","13","(cuna)","NA",NA,"P5E","sp1","PRE",13,NA
"804","14","pera","N/A","perceptual","P5E","sp1","PRE",14,"tap"
"805","15","perra","58","2","P5E","sp1","PRE",15,"trill"
"806","16","(huelo)","NA",NA,"P5E","sp1","PRE",16,NA
"807","17","careta","20","1 True","P5E","sp1","PRE",17,"tap"
"808","18","carreta","21","1","P5E","sp1","PRE",18,"trill"
"809","19","(cena)","NA",NA,"P5E","sp1","PRE",19,NA
"810","20","encerar","20","1 True","P5E","sp1","PRE",20,"tap"
"811","20b","encerar","N/A","perceptual","P5E","sp1","PRE",21,"tap"
